"시도별(1)","설립주체별(1)","시점",학생수,학생수,학생수
"시도별(1)","설립주체별(1)","시점",1학년,2학년,3학년
"총계","계","2012",643723,644529,631835
"총계","계","2013",633976,625651,633676
"총계","계","2014",605881,617776,615715
"총계","계","2015",586947,592175,609144
"총계","계","2016",591845,575529,585083
"총계","계","2017",522374,579250,568075
"총계","계","2018",457674,510241,570661
"총계","계","2019",463932,445479,501616
"총계","계","2020",447236,452126,437950
"총계","계","2021",413882,439510,446573
"총계","계","2022",427320,403910,431118
"총계","국립","2012",4840,4806,4824
"총계","국립","2013",4760,4783,4794
"총계","국립","2014",4621,4687,4755
"총계","국립","2015",4590,4598,4658
"총계","국립","2016",4595,4532,4585
"총계","국립","2017",4250,4516,4492
"총계","국립","2018",3922,4166,4489
"총계","국립","2019",3994,3871,4117
"총계","국립","2020",3855,3934,3797
"총계","국립","2021",3611,3801,3872
"총계","국립","2022",3637,3548,3740
"총계","공립","2012",357808,356470,344238
"총계","공립","2013",355787,347844,349793
"총계","공립","2014",340555,346586,341504
"총계","공립","2015",330720,332849,340974
"총계","공립","2016",335349,325011,328781
"총계","공립","2017",296611,329125,320798
"총계","공립","2018",260012,290629,324286
"총계","공립","2019",265017,253758,285684
"총계","공립","2020",256817,258613,249427
"총계","공립","2021",238856,252928,255472
"총계","공립","2022",249615,233876,248054
"총계","사립","2012",281075,283253,282773
"총계","사립","2013",273429,273024,279089
"총계","사립","2014",260705,266503,269456
"총계","사립","2015",251637,254728,263512
"총계","사립","2016",251901,245986,251717
"총계","사립","2017",221513,245609,242785
"총계","사립","2018",193740,215446,241886
"총계","사립","2019",194921,187850,211815
"총계","사립","2020",186564,189579,184726
"총계","사립","2021",171415,182781,187229
"총계","사립","2022",174068,166486,179324
"서울","계","2012",113274,115198,115919
"서울","계","2013",110452,110218,113453
"서울","계","2014",103925,107831,108642
"서울","계","2015",100029,101740,106537
"서울","계","2016",100897,98028,100631
"서울","계","2017",87426,98552,96990
"서울","계","2018",77220,85299,97035
"서울","계","2019",77862,74987,83840
"서울","계","2020",74770,75795,73751
"서울","계","2021",67822,73595,74902
