"행정구역별","시점",소방공무원 1인당 담당주민수<br>(A÷B),주민등록인구<br>(A),소방공무원 수<br>(B)
"전국","2010",1385,50515666,36466
"전국","2011",1350,50734284,37569
"전국","2012",1320,50948272,38587
"전국","2013",1305,51141463,39197
"전국","2014",1286,51327916,39923
"전국","2015",1224,51529338,42096
"전국","2016",1186,51696216,43583
"전국","2017",1091.0,51778544,47457
"전국","2018",1013.0,51826059,51149
"전국","2019",926.0,51849861,55964
"전국","2020",859.0,51829023,60315
"전국","2021",806.0,51638809,64054
"서울특별시","2010",1778,10312545,5800
"서울특별시","2011",1694,10249679,6051
"서울특별시","2012",1603,10195318,6359
"서울특별시","2013",1560,10143645,6501
"서울특별시","2014",1514,10103233,6674
"서울특별시","2015",1470,10022181,6820
"서울특별시","2016",1456,9930616,6820
"서울특별시","2017",1418.0,9857426,6951
"서울특별시","2018",1395.0,9765623,7002
"서울특별시","2019",1379.0,9729107,7055
"서울특별시","2020",1344.0,9668465,7196
"서울특별시","2021",1287.0,9509458,7389
"부산광역시","2010",1401,3567910,2546
"부산광역시","2011",1395,3550963,2546
"부산광역시","2012",1383,3538484,2559
"부산광역시","2013",1360,3527635,2594
"부산광역시","2014",1357,3519401,2594
"부산광역시","2015",1264,3513777,2780
"부산광역시","2016",1214,3498529,2881
"부산광역시","2017",1125.0,3470653,3084
"부산광역시","2018",1067.0,3441453,3225
"부산광역시","2019",1004.0,3413841,3401
"부산광역시","2020",959.0,3391946,3537
"부산광역시","2021",923.0,3350380,3631
"대구광역시","2010",1337,2511676,1878
"대구광역시","2011",1280,2507271,1959
"대구광역시","2012",1279,2505644,1959
"대구광역시","2013",1260,2501588,1985
"대구광역시","2014",1256,2493264,1985
"대구광역시","2015",1145,2487829,2173
"대구광역시","2016",1143,2484557,2173
"대구광역시","2017",1052.0,2475231,2354
"대구광역시","2018",980.0,2461769,2513
"대구광역시","2019",927.0,2438031,2631
"대구광역시","2020",891.0,2418346,2713
"대구광역시","2021",857.0,2385412,2785
"인천광역시","2010",1241,2758296,2222
"인천광역시","2011",1252,2801274,2237
"인천광역시","2012",1266,2843981,2246
"인천광역시","2013",1277,2879782,2255
"인천광역시","2014",1278,2902608,2271
"인천광역시","2015",1233,2925815,2372
"인천광역시","2016",1198,2943069,2456
"인천광역시","2017",1114.0,2948542,2646
"인천광역시","2018",1037.0,2954642,2848
"인천광역시","2019",987.0,2957026,2995
"인천광역시","2020",926.0,2942828,3179
