,행정구역별,시점,소방공무원 1인당 담당주민수<br>(A÷B),주민등록인구<br>(A),소방공무원 수<br>(B)
0,전국,2010,1385.0,50515666,36466
1,전국,2011,1350.0,50734284,37569
2,전국,2012,1320.0,50948272,38587
3,전국,2013,1305.0,51141463,39197
4,전국,2014,1286.0,51327916,39923
5,전국,2015,1224.0,51529338,42096
6,전국,2016,1186.0,51696216,43583
7,전국,2017,1091.0,51778544,47457
8,전국,2018,1013.0,51826059,51149
9,전국,2019,926.0,51849861,55964
10,전국,2020,859.0,51829023,60315
11,전국,2021,806.0,51638809,64054
12,서울특별시,2010,1778.0,10312545,5800
13,서울특별시,2011,1694.0,10249679,6051
14,서울특별시,2012,1603.0,10195318,6359
15,서울특별시,2013,1560.0,10143645,6501
16,서울특별시,2014,1514.0,10103233,6674
17,서울특별시,2015,1470.0,10022181,6820
18,서울특별시,2016,1456.0,9930616,6820
19,서울특별시,2017,1418.0,9857426,6951
20,서울특별시,2018,1395.0,9765623,7002
21,서울특별시,2019,1379.0,9729107,7055
22,서울특별시,2020,1344.0,9668465,7196
23,서울특별시,2021,1287.0,9509458,7389
24,부산광역시,2010,1401.0,3567910,2546
25,부산광역시,2011,1395.0,3550963,2546
26,부산광역시,2012,1383.0,3538484,2559
27,부산광역시,2013,1360.0,3527635,2594
28,부산광역시,2014,1357.0,3519401,2594
29,부산광역시,2015,1264.0,3513777,2780
30,부산광역시,2016,1214.0,3498529,2881
31,부산광역시,2017,1125.0,3470653,3084
32,부산광역시,2018,1067.0,3441453,3225
33,부산광역시,2019,1004.0,3413841,3401
34,부산광역시,2020,959.0,3391946,3537
35,부산광역시,2021,923.0,3350380,3631
36,대구광역시,2010,1337.0,2511676,1878
37,대구광역시,2011,1280.0,2507271,1959
38,대구광역시,2012,1279.0,2505644,1959
39,대구광역시,2013,1260.0,2501588,1985
40,대구광역시,2014,1256.0,2493264,1985
41,대구광역시,2015,1145.0,2487829,2173
42,대구광역시,2016,1143.0,2484557,2173
43,대구광역시,2017,1052.0,2475231,2354
44,대구광역시,2018,980.0,2461769,2513
45,대구광역시,2019,927.0,2438031,2631
46,대구광역시,2020,891.0,2418346,2713
47,대구광역시,2021,857.0,2385412,2785
48,인천광역시,2010,1241.0,2758296,2222
49,인천광역시,2011,1252.0,2801274,2237
50,인천광역시,2012,1266.0,2843981,2246
51,인천광역시,2013,1277.0,2879782,2255
52,인천광역시,2014,1278.0,2902608,2271
53,인천광역시,2015,1233.0,2925815,2372
54,인천광역시,2016,1198.0,2943069,2456
55,인천광역시,2017,1114.0,2948542,2646
56,인천광역시,2018,1037.0,2954642,2848
57,인천광역시,2019,987.0,2957026,2995
58,인천광역시,2020,926.0,2942828,3179
59,인천광역시,2021,896.0,2948375,3291
60,광주광역시,2010,1332.0,1454636,1092
61,광주광역시,2011,1340.0,1463464,1092
62,광주광역시,2012,1345.0,1469216,1092
63,광주광역시,2013,1321.0,1472910,1115
64,광주광역시,2014,1311.0,1475884,1126
65,광주광역시,2015,1263.0,1472199,1166
66,광주광역시,2016,1222.0,1469214,1202
67,광주광역시,2017,1125.0,1463770,1301
68,광주광역시,2018,1053.0,1459336,1386
69,광주광역시,2019,1009.0,1456468,1443
70,광주광역시,2020,948.0,1450062,1529
71,광주광역시,2021,919.0,1441611,1568
72,대전광역시,2010,1332.0,1503664,1129
73,대전광역시,2011,1334.0,1515603,1136
74,대전광역시,2012,1339.0,1524583,1139
75,대전광역시,2013,1324.0,1532811,1158
76,대전광역시,2014,1315.0,1531809,1165
77,대전광역시,2015,1266.0,1518775,1200
78,대전광역시,2016,1219.0,1514370,1242
79,대전광역시,2017,1119.0,1502227,1342
80,대전광역시,2018,1028.0,1489936,1450
81,대전광역시,2019,965.0,1474870,1529
82,대전광역시,2020,934.0,1463882,1568
83,대전광역시,2021,891.0,1452251,1630
84,울산광역시,2010,1571.0,1126298,717
85,울산광역시,2011,1461.0,1135494,777
86,울산광역시,2012,1374.0,1147256,835
87,울산광역시,2013,1385.0,1156480,835
88,울산광역시,2014,1367.0,1166377,853
89,울산광역시,2015,1311.0,1173534,895
90,울산광역시,2016,1284.0,1172304,913
91,울산광역시,2017,1243.0,1165132,937
92,울산광역시,2018,1097.0,1155623,1053
93,울산광역시,2019,985.0,1148019,1166
94,울산광역시,2020,887.0,1136017,1281
95,울산광역시,2021,816.0,1121592,1375
96,세종특별자치시,2012,870.0,113117,130
97,세종특별자치시,2013,671.0,122153,182
98,세종특별자치시,2014,858.0,156125,182
99,세종특별자치시,2015,879.0,210884,240
100,세종특별자치시,2016,832.0,243048,292
101,세종특별자치시,2017,824.0,280100,340
102,세종특별자치시,2018,793.0,314126,396
103,세종특별자치시,2019,744.0,340575,458
104,세종특별자치시,2020,702.0,355831,507
105,세종특별자치시,2021,676.0,371895,550
106,경기도,2010,2128.0,11786622,5538
107,경기도,2011,2004.0,11937415,5957
108,경기도,2012,1958.0,12093299,6176
109,경기도,2013,1981.0,12234630,6176
110,경기도,2014,1923.0,12357830,6426
111,경기도,2015,1784.0,12522606,7018
112,경기도,2016,1721.0,12716780,7388
113,경기도,2017,1548.0,12873895,8317
114,경기도,2018,1463.0,13077153,8941
115,경기도,2019,1367.0,13239666,9684
116,경기도,2020,1288.0,13427014,10428
117,경기도,2021,1227.0,13565450,11053
118,강원도,2010,703.0,1529818,2177
119,강원도,2011,697.0,1536448,2203
120,강원도,2012,683.0,1538630,2253
121,강원도,2013,673.0,1542263,2290
122,강원도,2014,672.0,1544442,2297
123,강원도,2015,628.0,1549507,2469
124,강원도,2016,599.0,1550806,2589
125,강원도,2017,533.0,1550142,2907
126,강원도,2018,478.0,1543052,3225
127,강원도,2019,418.0,1541502,3687
128,강원도,2020,385.0,1542840,4008
129,강원도,2021,354.0,1538492,4348
130,충청북도,2010,1124.0,1549528,1378
131,충청북도,2011,1131.0,1562903,1382
