"시도명(1)","시점","시군구(1)",관용,관용,관용,관용,관용,자가용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
"부산","2014.01","금정구",108,24,10,74,0,8012,543,2653,4630,186
"부산","2014.01","기장군",50,7,7,36,0,4129,333,1453,2218,125
"부산","2014.01","남구",50,4,7,34,5,10812,736,3309,6473,294
"부산","2014.01","동구",25,2,1,22,0,4277,440,1149,2556,132
"부산","2014.01","동래구",62,3,1,58,0,8580,657,2968,4757,198
"부산","2014.01","부산진구",123,0,26,97,0,17107,841,6947,8973,346
"부산","2014.01","북구",42,1,2,39,0,8568,453,2788,5118,209
"부산","2014.01","사상구",104,19,14,71,0,10090,594,3361,5950,185
"부산","2014.01","사하구",64,1,3,59,1,10991,505,3416,6771,299
"부산","2014.01","서구",12,0,7,4,1,6235,245,2106,3756,128
"부산","2014.01","수영구",82,2,1,77,2,6147,435,2138,3402,172
"부산","2014.01","연제구",162,1,5,131,25,6512,418,1960,3965,169
"부산","2014.01","영도구",38,1,4,33,0,6234,285,1958,3858,133
"부산","2014.01","해운대구",116,27,1,87,1,11889,678,3716,7044,451
"부산","2014.01","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.02","금정구",107,23,10,74,0,8010,534,2655,4639,182
"부산","2014.02","기장군",50,7,7,36,0,4134,337,1453,2215,129
"부산","2014.02","남구",49,4,7,34,4,10845,736,3315,6491,303
"부산","2014.02","동구",25,2,1,22,0,4281,435,1150,2562,134
"부산","2014.02","동래구",62,3,1,58,0,8602,665,2964,4775,198
"부산","2014.02","부산진구",122,0,25,97,0,17079,828,6920,8980,351
"부산","2014.02","북구",42,1,2,39,0,8564,458,2771,5122,213
"부산","2014.02","사상구",106,21,14,71,0,10102,601,3361,5961,179
"부산","2014.02","사하구",64,1,3,59,1,10998,505,3411,6775,307
"부산","2014.02","서구",12,0,7,4,1,6237,246,2098,3768,125
"부산","2014.02","수영구",82,2,1,77,2,6144,431,2132,3403,178
"부산","2014.02","연제구",162,1,5,131,25,6514,409,1961,3970,174
"부산","2014.02","영도구",38,1,4,33,0,6230,286,1957,3855,132
"부산","2014.02","해운대구",116,27,1,87,1,11880,674,3714,7040,452
"부산","2014.02","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.03","금정구",106,23,10,73,0,8022,528,2653,4655,186
"부산","2014.03","기장군",48,7,7,34,0,4160,338,1454,2235,133
"부산","2014.03","남구",45,4,7,30,4,10858,729,3311,6509,309
"부산","2014.03","동구",25,2,1,22,0,4294,435,1142,2581,136
"부산","2014.03","동래구",62,3,1,58,0,8604,660,2963,4786,195
"부산","2014.03","부산진구",122,0,25,97,0,17107,820,6914,9025,348
"부산","2014.03","북구",42,1,2,39,0,8569,450,2763,5139,217
"부산","2014.03","사상구",106,21,14,71,0,10116,606,3352,5985,173
"부산","2014.03","사하구",64,1,3,59,1,11050,508,3390,6831,321
"부산","2014.03","서구",12,0,7,4,1,6240,246,2099,3768,127
"부산","2014.03","수영구",81,2,1,77,1,6150,436,2131,3411,172
"부산","2014.03","연제구",162,1,5,131,25,6547,411,1955,4003,178
"부산","2014.03","영도구",38,1,4,33,0,6225,284,1955,3844,142
"부산","2014.03","해운대구",116,27,1,87,1,11882,669,3703,7053,457
"부산","2014.03","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.04","금정구",110,23,10,77,0,8036,529,2650,4673,184
"부산","2014.04","기장군",51,7,7,37,0,4184,342,1453,2262,127
"부산","2014.04","남구",43,4,7,29,3,10857,732,3295,6535,295
"부산","2014.04","동구",26,2,1,23,0,4285,432,1136,2576,141
"부산","2014.04","동래구",71,5,3,63,0,8604,652,2947,4810,195
"부산","2014.04","부산진구",123,0,25,98,0,17122,821,6894,9054,353
"부산","2014.04","북구",46,1,2,43,0,8576,452,2749,5156,219
"부산","2014.04","사상구",107,21,15,71,0,10133,601,3343,6012,177
"부산","2014.04","사하구",62,1,3,57,1,11065,494,3383,6857,331
"부산","2014.04","서구",12,0,7,4,1,6265,253,2085,3794,133
"부산","2014.04","수영구",84,2,1,80,1,6228,442,2139,3480,167
"부산","2014.04","연제구",165,3,5,132,25,6567,401,1957,4031,178
"부산","2014.04","영도구",41,1,4,36,0,6232,281,1949,3852,150
"부산","2014.04","해운대구",116,27,1,87,1,11883,657,3684,7080,462
"부산","2014.04","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.05","금정구",109,22,10,77,0,8064,523,2646,4708,187
"부산","2014.05","기장군",51,7,7,37,0,4210,339,1452,2282,137
"부산","2014.05","남구",45,4,7,31,3,10862,729,3290,6541,302
"부산","2014.05","동구",26,2,1,23,0,4295,435,1128,2590,142
"부산","2014.05","동래구",71,5,3,63,0,8616,639,2940,4829,208
"부산","2014.05","부산진구",123,0,25,98,0,17175,806,6886,9112,371
"부산","2014.05","북구",46,1,2,43,0,8564,446,2746,5153,219
"부산","2014.05","사상구",107,21,15,71,0,10118,598,3335,6003,182
"부산","2014.05","사하구",62,1,3,57,1,11063,487,3376,6863,337
"부산","2014.05","서구",12,0,7,4,1,6263,249,2078,3803,133
"부산","2014.05","수영구",83,2,0,80,1,6257,441,2146,3509,161
"부산","2014.05","연제구",158,5,5,123,25,6581,401,1952,4050,178
"부산","2014.05","영도구",41,1,4,36,0,6231,278,1945,3858,150
"부산","2014.05","해운대구",115,27,1,87,0,11900,656,3679,7097,468
"부산","2014.05","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.06","금정구",111,22,10,79,0,8054,523,2634,4710,187
"부산","2014.06","기장군",50,7,6,37,0,4222,336,1454,2293,139
"부산","2014.06","남구",45,4,7,31,3,10875,725,3275,6565,310
"부산","2014.06","동구",26,2,1,23,0,4292,426,1124,2602,140
"부산","2014.06","동래구",71,5,3,63,0,8632,624,2942,4863,203
"부산","2014.06","부산진구",123,0,25,98,0,17212,796,6883,9160,373
"부산","2014.06","북구",46,1,2,43,0,8568,438,2740,5176,214
"부산","2014.06","사상구",107,21,15,71,0,10128,594,3330,6016,188
"부산","2014.06","사하구",60,1,2,57,0,11063,480,3373,6870,340
"부산","2014.06","서구",12,0,7,4,1,6253,245,2072,3803,133
"부산","2014.06","수영구",83,2,0,80,1,6280,440,2143,3531,166
"부산","2014.06","연제구",162,7,5,125,25,6601,403,1945,4076,177
"부산","2014.06","영도구",41,1,4,36,0,6237,275,1939,3874,149
"부산","2014.06","해운대구",114,21,1,92,0,11937,658,3673,7133,473
"부산","2014.06","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.07","금정구",112,21,10,81,0,8087,517,2630,4748,192
"부산","2014.07","기장군",50,7,6,37,0,4247,329,1462,2320,136
"부산","2014.07","남구",46,4,7,32,3,10913,720,3255,6624,314
"부산","2014.07","동구",26,2,1,23,0,4297,424,1120,2611,142
"부산","2014.07","동래구",78,5,3,70,0,8627,623,2933,4860,211
"부산","2014.07","부산진구",124,0,25,99,0,17248,787,6880,9210,371
"부산","2014.07","북구",51,1,2,48,0,8600,432,2740,5216,212
"부산","2014.07","사상구",107,21,15,71,0,10160,578,3321,6064,197
"부산","2014.07","사하구",62,1,2,59,0,11069,477,3357,6893,342
"부산","2014.07","서구",12,0,7,4,1,6251,241,2067,3801,142
"부산","2014.07","수영구",82,2,0,79,1,6285,429,2139,3543,174
"부산","2014.07","연제구",177,6,5,140,26,6592,399,1941,4075,177
"부산","2014.07","영도구",40,1,4,35,0,6244,270,1927,3893,154
"부산","2014.07","해운대구",119,23,1,95,0,11983,653,3660,7185,485
"부산","2014.07","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.08","금정구",114,21,10,83,0,8075,516,2623,4750,186
"부산","2014.08","기장군",51,8,6,37,0,4284,328,1461,2348,147
"부산","2014.08","남구",63,4,12,42,5,10921,722,3253,6623,323
"부산","2014.08","동구",26,2,1,23,0,4313,430,1115,2622,146
"부산","2014.08","동래구",77,5,3,69,0,8667,625,2933,4900,209
"부산","2014.08","부산진구",124,3,25,96,0,17317,792,6873,9276,376
"부산","2014.08","북구",51,1,2,48,0,8633,437,2740,5241,215
"부산","2014.08","사상구",107,21,15,71,0,10149,566,3322,6065,196
"부산","2014.08","사하구",62,1,2,59,0,11079,470,3351,6911,347
"부산","2014.08","서구",12,0,7,4,1,6254,241,2060,3812,141
"부산","2014.08","수영구",82,2,0,79,1,6310,432,2140,3563,175
"부산","2014.08","연제구",172,8,5,133,26,6589,395,1925,4096,173
"부산","2014.08","영도구",40,1,4,35,0,6284,272,1922,3934,156
"부산","2014.08","해운대구",119,23,1,95,0,12006,648,3659,7207,492
"부산","2014.08","부산기타",0,0,0,0,0,25,0,17,8,0
"부산","2014.09","금정구",121,21,10,90,0,8108,513,2619,4778,198
"부산","2014.09","기장군",52,8,7,37,0,4297,328,1464,2360,145
"부산","2014.09","남구",67,4,12,43,8,10941,721,3235,6662,323
"부산","2014.09","동구",28,4,1,23,0,4323,420,1113,2645,145
"부산","2014.09","동래구",79,7,3,69,0,8666,617,2928,4908,213
"부산","2014.09","부산진구",124,3,25,96,0,17360,776,6866,9322,396
"부산","2014.09","북구",51,1,2,48,0,8626,433,2731,5239,223
"부산","2014.09","사상구",107,21,15,71,0,10164,573,3316,6080,195
