"시도명(1)","시점","시군구(1)",관용,관용,관용,관용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",경형,소형,중형,대형,경형,소형,중형,대형
"부산","2019.01","금정구",8,17,69,1,319,2348,5080,351
"부산","2019.01","기장군",7,7,46,0,258,1570,2896,270
"부산","2019.01","남구",3,12,26,0,463,2845,6735,571
"부산","2019.01","동구",3,35,38,2,258,994,2783,169
"부산","2019.01","동래구",5,7,74,0,391,2434,5031,420
"부산","2019.01","부산진구",10,25,103,0,498,6069,9588,692
"부산","2019.01","북구",1,3,52,0,277,2476,5453,414
"부산","2019.01","사상구",25,33,106,1,385,3003,6151,325
"부산","2019.01","사하구",3,7,75,0,365,2978,7413,513
"부산","2019.01","서구",0,6,3,0,161,1751,4021,211
"부산","2019.01","수영구",1,0,101,0,294,1921,3861,369
"부산","2019.01","연제구",5,6,149,37,237,1709,4046,370
"부산","2019.01","영도구",3,4,42,0,197,1631,4224,235
"부산","2019.01","해운대구",5,0,87,1,551,3361,7650,800
"부산","2019.01","부산기타",0,0,0,0,0,11,4,0
"부산","2019.02","금정구",8,17,71,1,318,2345,5075,353
"부산","2019.02","기장군",7,7,46,0,256,1574,2903,275
"부산","2019.02","남구",3,12,25,0,454,2837,6704,582
"부산","2019.02","동구",3,35,38,2,258,993,2767,173
"부산","2019.02","동래구",5,7,74,0,394,2434,5016,420
"부산","2019.02","부산진구",10,25,102,0,496,6057,9587,701
"부산","2019.02","북구",1,3,52,0,277,2469,5430,421
"부산","2019.02","사상구",24,33,106,1,384,3006,6137,327
"부산","2019.02","사하구",3,7,75,0,362,2979,7401,513
"부산","2019.02","서구",0,6,3,0,162,1741,4010,207
"부산","2019.02","수영구",1,0,101,0,292,1914,3873,374
"부산","2019.02","연제구",5,6,149,37,241,1712,4048,373
"부산","2019.02","영도구",3,4,42,0,188,1631,4233,240
"부산","2019.02","해운대구",5,0,87,1,541,3354,7659,808
"부산","2019.02","부산기타",0,0,0,0,0,11,4,0
"부산","2019.03","금정구",8,17,71,1,323,2340,5108,351
"부산","2019.03","기장군",7,7,46,0,269,1580,2901,288
"부산","2019.03","남구",3,12,25,0,455,2827,6721,580
"부산","2019.03","동구",3,35,37,2,258,991,2767,174
"부산","2019.03","동래구",5,7,74,0,398,2419,5038,432
"부산","2019.03","부산진구",10,24,106,0,498,6046,9601,705
"부산","2019.03","북구",1,3,52,0,292,2458,5414,421
"부산","2019.03","사상구",25,33,107,1,404,3001,6126,330
"부산","2019.03","사하구",3,7,75,0,359,2981,7412,522
"부산","2019.03","서구",0,6,3,0,160,1732,4022,204
"부산","2019.03","수영구",1,0,101,0,302,1913,3863,382
"부산","2019.03","연제구",5,6,148,37,241,1710,4058,381
"부산","2019.03","영도구",3,4,42,0,185,1625,4221,248
"부산","2019.03","해운대구",5,0,88,1,552,3343,7668,817
"부산","2019.03","부산기타",0,0,0,0,0,11,4,0
"부산","2019.04","금정구",8,17,72,2,323,2342,5131,355
"부산","2019.04","기장군",7,7,48,0,269,1587,2902,293
"부산","2019.04","남구",3,12,25,0,448,2813,6737,584
"부산","2019.04","동구",3,35,37,1,258,984,2749,181
"부산","2019.04","동래구",5,7,74,0,398,2414,5064,444
"부산","2019.04","부산진구",11,24,110,0,510,6029,9615,734
"부산","2019.04","북구",1,3,52,0,299,2445,5424,430
"부산","2019.04","사상구",25,30,107,1,429,2996,6132,336
"부산","2019.04","사하구",2,7,75,0,369,2973,7425,547
