"시도명(1)","시점","시군구(1)",관용,관용,관용,관용,관용,자가용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",소계,경형,소형,중형,대형,소계,경형,소형,중형,대형
"부산","2023.01","금정구",79,5,4,68,2,8096,345,2068,5110,573
"부산","2023.01","기장군",68,2,8,58,0,5818,309,1465,3417,627
"부산","2023.01","남구",31,3,10,18,0,10733,448,2398,6946,941
"부산","2023.01","동구",57,2,22,32,1,4421,183,941,2977,320
"부산","2023.01","동래구",74,1,1,71,1,8902,403,2132,5513,854
"부산","2023.01","부산진구",118,10,21,86,1,15928,623,3901,10008,1396
"부산","2023.01","북구",50,1,4,45,0,8691,413,2071,5487,720
"부산","2023.01","사상구",161,26,38,96,1,9283,550,2238,5893,602
"부산","2023.01","사하구",80,6,2,72,0,12473,522,2886,8096,969
"부산","2023.01","서구",9,1,6,2,0,6059,206,1480,4031,342
"부산","2023.01","수영구",85,0,4,80,1,6666,307,1468,4217,674
"부산","2023.01","연제구",134,5,4,89,36,6868,274,1587,4362,645
"부산","2023.01","영도구",50,5,2,43,0,6371,216,1480,4331,344
"부산","2023.01","해운대구",96,7,2,86,1,12695,537,2924,7902,1332
"부산","2023.01","부산기타",0,0,0,0,0,12,0,10,2,0
