"시도별(1)","설립주체별(1)","시점",학생수 (명)
"총계","계","2012",1849094
"총계","계","2013",1804189
"총계","계","2014",1717911
"총계","계","2015",1585951
"총계","계","2016",1457490
"총계","계","2017",1381334
"총계","계","2018",1334288
"총계","계","2019",1294559
"총계","계","2020",1315846
"총계","계","2021",1350770
"총계","계","2022",1348428
"총계","국립","2012",5966
"총계","국립","2013",5764
"총계","국립","2014",5518
"총계","국립","2015",5117
"총계","국립","2016",4686
"총계","국립","2017",4420
"총계","국립","2018",4222
"총계","국립","2019",4087
"총계","국립","2020",4065
"총계","국립","2021",3987
"총계","국립","2022",3930
"총계","공립","2012",1513038
"총계","공립","2013",1479595
"총계","공립","2014",1411101
"총계","공립","2015",1303504
"총계","공립","2016",1198298
"총계","공립","2017",1138813
"총계","공립","2018",1103866
"총계","공립","2019",1073694
"총계","공립","2020",1095088
"총계","공립","2021",1127662
"총계","공립","2022",1127562
"총계","사립","2012",330090
"총계","사립","2013",318830
"총계","사립","2014",301292
"총계","사립","2015",277330
"총계","사립","2016",254506
"총계","사립","2017",238101
"총계","사립","2018",226200
"총계","사립","2019",216778
"총계","사립","2020",216693
"총계","사립","2021",219121
"총계","사립","2022",216936
"서울","계","2012",315241
"서울","계","2013",304251
"서울","계","2014",286826
"서울","계","2015",263466
"서울","계","2016",239912
"서울","계","2017",227001
"서울","계","2018",216330
"서울","계","2019",207413
"서울","계","2020",207081
"서울","계","2021",209749
"서울","계","2022",205387
"서울","국립","2012",1599
"서울","국립","2013",1551
"서울","국립","2014",1490
"서울","국립","2015",1394
"서울","국립","2016",1254
"서울","국립","2017",1199
"서울","국립","2018",1131
"서울","국립","2019",1057
"서울","국립","2020",1030
"서울","국립","2021",979
"서울","국립","2022",944
"서울","공립","2012",234990
"서울","공립","2013",226897
"서울","공립","2014",214061
"서울","공립","2015",197034
"서울","공립","2016",179380
"서울","공립","2017",170375
"서울","공립","2018",162790
"서울","공립","2019",156265
"서울","공립","2020",156181
"서울","공립","2021",158324
"서울","공립","2022",154871
"서울","사립","2012",78652
"서울","사립","2013",75803
"서울","사립","2014",71275
"서울","사립","2015",65038
"서울","사립","2016",59278
"서울","사립","2017",55427
"서울","사립","2018",52409
"서울","사립","2019",50091
"서울","사립","2020",49870
"서울","사립","2021",50446
"서울","사립","2022",49572
"부산","계","2012",114936
"부산","계","2013",110454
"부산","계","2014",104128
"부산","계","2015",95020
"부산","계","2016",86650
"부산","계","2017",80719
"부산","계","2018",77021
"부산","계","2019",73338
"부산","계","2020",73749
"부산","계","2021",75357
"부산","계","2022",74941
"부산","국립","2012",-
"부산","국립","2013",-
"부산","국립","2014",-
"부산","국립","2015",-
"부산","국립","2016",-
"부산","국립","2017",-
"부산","국립","2018",0
"부산","국립","2019",0
"부산","국립","2020",-
"부산","국립","2021",-
"부산","국립","2022",-
"부산","공립","2012",93075
"부산","공립","2013",89801
"부산","공립","2014",84935
"부산","공립","2015",78056
"부산","공립","2016",71438
"부산","공립","2017",66732
"부산","공립","2018",63714
"부산","공립","2019",60809
"부산","공립","2020",61486
"부산","공립","2021",63020
"부산","공립","2022",62743
"부산","사립","2012",21861
"부산","사립","2013",20653
"부산","사립","2014",19193
"부산","사립","2015",16964
"부산","사립","2016",15212
"부산","사립","2017",13987
"부산","사립","2018",13307
"부산","사립","2019",12529
"부산","사립","2020",12263
"부산","사립","2021",12337
"부산","사립","2022",12198
"대구","계","2012",98316
"대구","계","2013",94394
"대구","계","2014",89291
"대구","계","2015",80982
"대구","계","2016",73925
"대구","계","2017",68893
"대구","계","2018",66165
"대구","계","2019",62539
"대구","계","2020",62563
"대구","계","2021",62755
"대구","계","2022",61975
"대구","국립","2012",801
"대구","국립","2013",765
"대구","국립","2014",762
"대구","국립","2015",693
"대구","국립","2016",640
"대구","국립","2017",581
"대구","국립","2018",581
"대구","국립","2019",562
"대구","국립","2020",580
"대구","국립","2021",556
"대구","국립","2022",550
"대구","공립","2012",72090
"대구","공립","2013",69073
"대구","공립","2014",64986
"대구","공립","2015",58488
"대구","공립","2016",53137
"대구","공립","2017",49489
"대구","공립","2018",47455
"대구","공립","2019",44772
"대구","공립","2020",44819
"대구","공립","2021",44471
"대구","공립","2022",43912
"대구","사립","2012",25425
"대구","사립","2013",24556
"대구","사립","2014",23543
"대구","사립","2015",21801
"대구","사립","2016",20148
"대구","사립","2017",18823
"대구","사립","2018",18129
"대구","사립","2019",17205
"대구","사립","2020",17164
"대구","사립","2021",17728
"대구","사립","2022",17513
"인천","계","2012",103593
"인천","계","2013",100776
"인천","계","2014",96490
"인천","계","2015",89337
"인천","계","2016",82893
"인천","계","2017",78826
"인천","계","2018",76565
"인천","계","2019",74458
"인천","계","2020",76346
"인천","계","2021",78333
"인천","계","2022",78827
"인천","국립","2012",-
"인천","국립","2013",-
"인천","국립","2014",-
"인천","국립","2015",-
"인천","국립","2016",-
"인천","국립","2017",-
"인천","국립","2018",0
"인천","국립","2019",0
"인천","국립","2020",-
"인천","국립","2021",-
"인천","국립","2022",-
"인천","공립","2012",98122
"인천","공립","2013",95794
"인천","공립","2014",91739
"인천","공립","2015",84889
"인천","공립","2016",78638
"인천","공립","2017",74648
"인천","공립","2018",72495
"인천","공립","2019",70561
"인천","공립","2020",72390
"인천","공립","2021",74379
"인천","공립","2022",74922
"인천","사립","2012",5471
