"시도별(1)","설립주체별(1)","시점",학생수 (명)
"총계","계","2012",2951995
"총계","계","2013",2784000
"총계","계","2014",2728509
"총계","계","2015",2714610
"총계","계","2016",2672843
"총계","계","2017",2674227
"총계","계","2018",2711385
"총계","계","2019",2747219
"총계","계","2020",2693716
"총계","계","2021",2672340
"총계","계","2022",2664278
"총계","국립","2012",10066
"총계","국립","2013",9798
"총계","국립","2014",9580
"총계","국립","2015",9347
"총계","국립","2016",9170
"총계","국립","2017",8978
"총계","국립","2018",8862
"총계","국립","2019",8783
"총계","국립","2020",8697
"총계","국립","2021",8557
"총계","국립","2022",8369
"총계","공립","2012",2899933
"총계","공립","2013",2733287
"총계","공립","2014",2678752
"총계","공립","2015",2665762
"총계","공립","2016",2624452
"총계","공립","2017",2626405
"총계","공립","2018",2664402
"총계","공립","2019",2700467
"총계","공립","2020",2647300
"총계","공립","2021",2625459
"총계","공립","2022",2616671
"총계","사립","2012",41996
"총계","사립","2013",40915
"총계","사립","2014",40177
"총계","사립","2015",39501
"총계","사립","2016",39221
"총계","사립","2017",38844
"총계","사립","2018",38121
"총계","사립","2019",37969
"총계","사립","2020",37719
"총계","사립","2021",38324
"총계","사립","2022",39238
"서울","계","2012",502000
"서울","계","2013",469392
"서울","계","2014",457517
"서울","계","2015",450675
"서울","계","2016",436121
"서울","계","2017",428333
"서울","계","2018",424800
"서울","계","2019",422293
"서울","계","2020",409536
"서울","계","2021",399435
"서울","계","2022",393565
"서울","국립","2012",1392
"서울","국립","2013",1359
"서울","국립","2014",1333
"서울","국립","2015",1330
"서울","국립","2016",1327
"서울","국립","2017",1282
"서울","국립","2018",1284
"서울","국립","2019",1248
"서울","국립","2020",1241
"서울","국립","2021",1232
"서울","국립","2022",1225
"서울","공립","2012",476455
"서울","공립","2013",444376
"서울","공립","2014",433086
"서울","공립","2015",426698
"서울","공립","2016",412404
"서울","공립","2017",405069
"서울","공립","2018",402366
"서울","공립","2019",400137
"서울","공립","2020",387628
"서울","공립","2021",377124
"서울","공립","2022",370770
"서울","사립","2012",24153
"서울","사립","2013",23657
"서울","사립","2014",23098
"서울","사립","2015",22647
"서울","사립","2016",22390
"서울","사립","2017",21982
"서울","사립","2018",21150
"서울","사립","2019",20908
"서울","사립","2020",20667
"서울","사립","2021",21079
"서울","사립","2022",21570
"부산","계","2012",172069
"부산","계","2013",160821
"부산","계","2014",155754
"부산","계","2015",154283
"부산","계","2016",151207
"부산","계","2017",150863
"부산","계","2018",152775
"부산","계","2019",155589
"부산","계","2020",153527
"부산","계","2021",153921
"부산","계","2022",154858
"부산","국립","2012",736
"부산","국립","2013",720
"부산","국립","2014",703
"부산","국립","2015",688
"부산","국립","2016",672
"부산","국립","2017",672
"부산","국립","2018",672
"부산","국립","2019",656
"부산","국립","2020",640
"부산","국립","2021",624
"부산","국립","2022",609
"부산","공립","2012",168933
"부산","공립","2013",157728
"부산","공립","2014",152704
"부산","공립","2015",151309
"부산","공립","2016",148256
"부산","공립","2017",147925
"부산","공립","2018",149819
"부산","공립","2019",152617
"부산","공립","2020",150554
